dataset,network,DenseNum,DropOut,FreezePercentage,BatchSize,epoch,accuracy,precision,sensitivity,specificity,f1_score,npv,mcc,auc,TP,TN,FP,FN,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_f1_score,val_npv,val_mcc,val_auc,val_TP,val_TN,val_FP,val_FN,val_runtime
85,DenseNet201,128,0.3,0.3,64,2,0.9965826272964478,0.9963682889938354,0.9961555004119873,0.9964104890823364,0.9963040947914124,0.9962090253829956,0.9926180243492126,0.9999294877052307,4664.0,4665.0,17.0,18.0,126.72198987007141,0.9876644611358643,0.9868529438972473,0.9876644611358643,0.9868420958518982,0.9872628450393677,0.9876514077186584,0.9745126962661743,0.9986945390701294,1201.0,1200.0,16.0,15.0,15.195223331451416
85,DenseNet201,128,0.3,0.3,64,4,0.9989402294158936,0.9991520047187805,0.9989402294158936,0.9991554021835327,0.9990490078926086,0.9989475607872009,0.9981012940406799,0.9999986290931702,4713.0,4714.0,4.0,5.0,158.61389136314392,0.9876644611358643,0.9868529438972473,0.9876644611358643,0.9868420958518982,0.9872564077377319,0.9876644611358643,0.9745128750801086,0.9980410933494568,1201.0,1200.0,16.0,15.0,15.483653783798218
85,DenseNet201,128,0.3,0.3,64,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999403953552,4720.0,4720.0,0.0,0.0,246.694575548172,0.9868420958518982,0.9860082268714905,0.9851973652839661,0.9860197305679321,0.9855858683586121,0.9852606058120728,0.971235454082489,0.9966230392456055,1198.0,1199.0,17.0,18.0,15.462273836135864
85,DenseNet201,128,0.3,0.3,64,4,0.999365508556366,0.999365508556366,0.999365508556366,0.9993665814399719,0.9993665814399719,0.9993665814399719,0.9987331032752991,0.9999961853027344,4725.0,4725.0,3.0,3.0,157.78558444976807,0.9852430820465088,0.9835212230682373,0.984375,0.9835069179534912,0.9839440584182739,0.9843875169754028,0.9679011106491089,0.9965915083885193,1134.0,1133.0,19.0,18.0,16.22202730178833
85,DenseNet201,128,0.3,0.3,64,4,0.9945170879364014,0.9945170879364014,0.9945170879364014,0.9945833086967468,0.9945815801620483,0.9946117997169495,0.9891920685768127,0.9998812675476074,4716.0,4716.0,26.0,26.0,158.55351400375366,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.96875,0.9951164126396179,1134.0,1134.0,18.0,18.0,16.904391050338745
85,DenseNet201,128,0.3,0.3,64,7,0.9991593360900879,0.9989495873451233,0.9993695020675659,0.9973674416542053,0.9978225827217102,0.9980952739715576,0.9955602884292603,0.9999953508377075,4755.0,4753.0,5.0,3.0,204.37978148460388,0.9878472089767456,0.9878261089324951,0.9861111044883728,0.9878472089767456,0.9869654178619385,0.9861636757850647,0.9739845991134644,0.9985770583152771,1136.0,1138.0,14.0,16.0,16.543437719345093
85,DenseNet201,128,0.3,0.3,64,3,0.9985055327415466,0.998719334602356,0.9989325404167175,0.9987331032752991,0.9988378286361694,0.9989572763442993,0.9976888298988342,0.999993622303009,4679.0,4678.0,6.0,5.0,144.8797197341919,0.9934210777282715,0.9934210777282715,0.9934210777282715,0.9934210777282715,0.9934210777282715,0.9934210777282715,0.9868420958518982,0.9988401532173157,1208.0,1208.0,8.0,8.0,16.14429807662964
85,DenseNet201,128,0.3,0.3,64,4,0.9987304210662842,0.9991530776023865,0.9985188245773315,0.9991554021835327,0.9988345503807068,0.9985349774360657,0.9976822137832642,0.999993085861206,4719.0,4722.0,4.0,7.0,158.51152157783508,0.9852430820465088,0.9861231446266174,0.9869791865348816,0.9861111044883728,0.9865618944168091,0.9869649410247803,0.9731099009513855,0.9989852905273438,1137.0,1136.0,16.0,15.0,16.008299589157104
85,DenseNet201,128,0.3,0.3,64,0,0.95291668176651,0.949113667011261,0.9481250047683716,0.9491666555404663,0.9484360814094543,0.9486033916473389,0.8973899483680725,0.9892721176147461,4551.0,4556.0,244.0,249.0,99.31865644454956,0.9826388955116272,0.9817550182342529,0.9809027910232544,0.9817708134651184,0.9813533425331116,0.9808877110481262,0.9626925587654114,0.996798574924469,1130.0,1131.0,21.0,22.0,16.04876208305359
85,DenseNet201,128,0.3,0.3,64,7,0.9997915029525757,1.0,0.9997915029525757,1.0,0.9998950362205505,0.9997949004173279,0.999793291091919,0.9999998211860657,4795.0,4796.0,0.0,1.0,203.37115788459778,0.9889705777168274,0.9889807105064392,0.9898896813392639,0.9889705777168274,0.989433765411377,0.9898896813392639,0.9788673520088196,0.9975907206535339,1077.0,1076.0,12.0,11.0,16.824442863464355
85,DenseNet201,128,0.3,0.3,64,4,0.9989460110664368,0.9989462494850159,0.9991568326950073,0.9989583492279053,0.9990633130073547,0.9991666674613953,0.9981266260147095,0.9999961853027344,4740.0,4739.0,5.0,4.0,158.65487909317017,0.9895833134651184,0.9895742535591125,0.9887152910232544,0.9895833134651184,0.9891321659088135,0.9887553453445435,0.9783048629760742,0.9979165196418762,1139.0,1140.0,12.0,13.0,16.79155993461609
85,DenseNet201,128,0.3,0.3,64,4,0.998755156993866,0.9987543821334839,0.9981327652931213,0.9983140826225281,0.9980033040046692,0.9977100491523743,0.9960194826126099,0.9999796152114868,4811.0,4814.0,6.0,9.0,161.08274626731873,0.9880514740943909,0.9871086478233337,0.9852941036224365,0.9871323704719543,0.9861839413642883,0.9853918552398682,0.9724675416946411,0.9953195452690125,1072.0,1074.0,14.0,16.0,16.016905307769775
85,DenseNet201,128,0.3,0.3,64,2,0.9993622303009033,0.9989373087882996,0.9991496801376343,0.9989442825317383,0.9990506768226624,0.9991586804389954,0.9981045126914978,0.9999837279319763,4700.0,4699.0,5.0,4.0,129.65184664726257,0.9917762875556946,0.9917762875556946,0.9917762875556946,0.9917762875556946,0.9917762875556946,0.9917762875556946,0.9835526347160339,0.9978872537612915,1206.0,1206.0,10.0,10.0,16.907338857650757
85,DenseNet201,128,0.3,0.3,64,4,0.9967172741889954,0.9965128302574158,0.9967172741889954,0.9965503215789795,0.9966508150100708,0.9967655539512634,0.9933143854141235,0.9998301267623901,4858.0,4857.0,17.0,16.0,161.74965071678162,0.9873046875,0.9872922897338867,0.986328125,0.9873046875,0.9867971539497375,0.9863731861114502,0.9736398458480835,0.9981698989868164,1010.0,1011.0,13.0,14.0,16.838459253311157
85,DenseNet201,128,0.3,0.3,64,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4722.0,4722.0,0.0,0.0,188.57605361938477,0.9876644611358643,0.9876543283462524,0.9868420958518982,0.9876644611358643,0.9872435331344604,0.9868674278259277,0.9745126962661743,0.9962456822395325,1200.0,1201.0,15.0,16.0,17.14169144630432
85,DenseNet201,128,0.3,0.3,64,4,0.9989561438560486,0.9987476468086243,0.9989561438560486,0.9987499713897705,0.9988549947738647,0.9989583492279053,0.9977099895477295,0.9999902248382568,4785.0,4784.0,6.0,5.0,159.05925297737122,0.9880514740943909,0.9871441721916199,0.9880514740943909,0.9871323704719543,0.9876025915145874,0.9880368709564209,0.9751906394958496,0.99701327085495,1075.0,1074.0,14.0,13.0,15.897283554077148
85,DenseNet201,128,0.3,0.3,64,2,0.9975082874298096,0.9981304407119751,0.997715950012207,0.9981496930122375,0.9979456663131714,0.997744619846344,0.9958975911140442,0.9999396800994873,4805.0,4807.0,9.0,11.0,130.90870785713196,0.9880514740943909,0.9880514740943909,0.9880514740943909,0.9880514740943909,0.9880514740943909,0.9880514740943909,0.9761029481887817,0.9978923201560974,1075.0,1075.0,13.0,13.0,16.577409029006958
85,DenseNet201,128,0.3,0.3,64,7,1.0,1.0,0.9997901916503906,1.0,0.9998950362205505,0.9997949004173279,0.999793291091919,0.9999999403953552,4765.0,4766.0,0.0,1.0,204.43055248260498,0.9904513955116272,0.9895833134651184,0.9895833134651184,0.9895833134651184,0.9895831346511841,0.9895962476730347,0.9791796207427979,0.9974474310874939,1140.0,1140.0,12.0,12.0,16.38426637649536
85,DenseNet201,128,0.3,0.3,64,7,0.999585747718811,0.9995855689048767,0.9991714954376221,0.9995887875556946,0.9993816018104553,0.9991839528083801,0.9987696409225464,0.999998927116394,4824.0,4826.0,2.0,4.0,205.75105595588684,0.9871323704719543,0.984403669834137,0.986213207244873,0.984375,0.9853154420852661,0.9861840605735779,0.9706019163131714,0.9957651495933533,1073.0,1071.0,17.0,15.0,17.241117477416992
85,DenseNet201,128,0.3,0.3,64,7,1.0,0.999788224697113,0.999788224697113,0.9997888803482056,0.9997888803482056,0.9997921586036682,0.999580979347229,1.0,4721.0,4721.0,1.0,1.0,202.38852858543396,0.9901315569877625,0.9868744611740112,0.9893091917037964,0.9868420958518982,0.9881040453910828,0.9892953634262085,0.9761943817138672,0.9987844228744507,1203.0,1200.0,16.0,13.0,17.146100521087646
